序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
81,紫钗记,第十三出,锦堂月,是,126,红,红妆艳,红妆艳日,正文
81,紫钗记,第十三出,锦堂月,是,126,银,银烛影,银烛影河汉秋光,正文
82,紫钗记,第十三出,醉翁子,否,127,红, 把红丝儿,好韶华、长则 把红丝儿 缱恋,正文
82,紫钗记,第十三出,醉翁子,否,127,翠,光买翠钿,何处春光买翠钿,正文
0,紫钗记,第十三出,醉翁子,是,128
83,紫钗记,第十三出,幸幸令,否,129,红,灯花红笑颤,灯花红笑颤,正文
83,紫钗记,第十三出,幸幸令,否,129,金,影耀金蝉 ,环影耀金蝉,正文
84,紫钗记,第十三出,幸幸令,是,130,银,银瓶催,银瓶催漏悄,正文
84,紫钗记,第十三出,幸幸令,是,130,翠,翠袖袅,翠袖袅鬟偏,正文
85,紫钗记,第十三出,尾声,否,131,金,图他金榜挂,图他金榜挂名时,下场诗
0,紫钗记,第十四出,探春令,否,132
0,紫钗记,第十四出,荷叶杯,否,133
86,紫钗记,第十四出,莺啼序,否,134,红,新退红 ,眉州小锦新退红,正文
86,紫钗记,第十四出,莺啼序,否,134,粉,汗粉渍匀,汗粉渍匀 娇莹,正文
87,紫钗记,第十四出,阮郎归,否,135,翠,蛾眉翠淡浓,学画蛾眉翠淡浓,正文
87,紫钗记,第十四出,阮郎归,否,135,绿, 绿纱窗,绿纱窗外晓光催,正文
87,紫钗记,第十四出,阮郎归,否,135,红,一朵红酥旋,一朵红酥旋欲融,正文
87,紫钗记,第十四出,阮郎归,否,135,翠,娇横翠 ,倚新妆 半晌娇横翠,正文
88,紫钗记,第十四出,鹊桥仙,否,136,红, 红壁窥,红壁窥莺,正文
88,紫钗记,第十四出,鹊桥仙,否,136,银,银塘浴,银塘浴翠,正文
88,紫钗记,第十四出,鹊桥仙,否,136,翠,塘浴翠 ,银塘浴翠,正文
88,紫钗记,第十四出,鹊桥仙,否,136,银,忝成银汉匹,天上忝成银汉匹,正文
89,紫钗记,第十四出,玉山儿,否,137,银,银荷上,银荷上绛烛飞辉,正文
90,紫钗记,第十四出,玉山儿,是,138,朱,露华朱邸,露华朱邸,正文
90,紫钗记,第十四出,玉山儿,是,138,金,玉叶金枝 ,自生成玉叶金枝,正文
90,紫钗记,第十四出,玉山儿,是,138,翠,条轻翠,破朝花一条轻翠,正文
