出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第六出,雁来红,否,6,[0],[0],[0],[0],"[2, 9, 6, 3, 2, 6, 6, 4, 6, 6, 6, 4, 9, 4, 2, 4]",[]
第六出,雁来红,是,7,[0],[0],[0],[0],[],[]
第六出,尾声,否,8,[0],[0],[0],[0],[],[]
第七出,夜行船,否,1,[0],[0],[0],[0],[],[]
第七出,集唐,否,2,"[7, 7, 7, 7, 21, 4, 4, 6, 5, 7, 4, 6, 4, 10, 2, 2, 7, 4, 4, 8, 10, 5, 4, 8, 4, 4, 6, 6, 6, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 21, 4, 4, 6, 5, 7, 4, 6, 4, 10, 2, 2, 7, 4, 4, 8, 10, 5, 4, 8, 4, 4, 6, 6, 6, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 7, 7, 7, 21, 4, 4, 6, 5, 7, 4, 6, 4, 10, 2, 2, 7, 4, 4, 8, 10, 5, 4, 8, 4, 4, 6, 6, 6, 2, 4]"
第七出,粉蝶儿,否,3,[0],[0],[0],[0],[],[],"[5, 8, 6, 5, 12, 3, 5, 2, 3, 3, 4, 7, 3]"
第七出,一封书,否,4,[0],[0],[0],[0],"[5, 8, 6, 5, 12, 3, 5, 2, 3, 3, 4, 7, 3]",[],"[2, 2, 2, 6, 3, 3]"
第七出,一封书,是,5,[0],[0],[0],[0],"[2, 2, 2, 6, 3, 3]",[]
第七出,尾声,否,6,[0],[0],[0],[0],[],[],"[4, 7, 11, 6]"
第八出,谒金门前,否,1,[0],[0],[0],[0],"[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 12, 12, 10, 10, 10, 8, 9, 4, 8, 8, 2, 11, 9, 9, 9, 7, 7, 8, 8, 7, 9, 3, 13, 7, 4, 6, 8, 13, 7]",[],"[4, 6, 12, 6, 4, 7, 7, 4, 3, 7, 7, 7, 3, 4, 3, 5, 5, 6, 8, 9, 10, 7, 8, 12, 7, 2, 6, 1, 4, 7]"
