序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
49,邯郸记,第九出,北点绛唇,是,71,青,青海湾,青海湾西驾骆驼,正文
49,邯郸记,第九出,北点绛唇,是,71,白,白兰山,白兰山外雪风多,正文
49,邯郸记,第九出,北点绛唇,是,71,兰,白兰山外,白兰山外雪风多,正文
49,邯郸记,第九出,北点绛唇,是,71,白, 白草黄,白草黄羊,正文
49,邯郸记,第九出,北点绛唇,是,71,黄,白草黄羊 ,白草黄羊,正文
49,邯郸记,第九出,北点绛唇,是,71,金,一枝金箭催,一枝金箭催兵马,正文
49,邯郸记,第九出,北点绛唇,是,71,绿,儿家绿玉河,占断儿家绿玉河,正文
49,邯郸记,第九出,北点绛唇,是,71,金,在泥金炕,稳坐在泥金炕,正文
49,邯郸记,第九出,北点绛唇,是,71,乌,秃发乌孤 ,我国始祖秃发乌孤,正文
49,邯郸记,第九出,北点绛唇,是,71,金,家母金城公,家母金城公主,正文
49,邯郸记,第九出,北点绛唇,是,71,金,原以金鹅为,与唐朝原以金鹅为誓,正文
0,邯郸记,第九出,清江引,否,72
50,邯郸记,第九出,清江引,是,73,红,一片红尘起,阴山一片红尘起,下场诗
50,邯郸记,第九出,清江引,是,73,黄,马射黄羊 ,刬骑单马射黄羊,下场诗
0,邯郸记,第十出,七娘子,否,74
51,邯郸记,第十出,好事近,否,75,金,买断金钱谁,买断金钱谁说,正文
51,邯郸记,第十出,好事近,否,75,翠,鸳枕翠生寒,梦回鸳枕翠生寒,正文
52,邯郸记,第十出,针线箱,否,76,粉,一帘粉絮莺,早则是 一帘粉絮莺梢断,正文
52,邯郸记,第十出,针线箱,否,76,红,十里红香燕,十里红香燕语残,正文
53,邯郸记,第十出,望吾乡,否,77,翠, 翠盖红,翠盖红茵,正文
53,邯郸记,第十出,望吾乡,否,77,红,翠盖红茵,翠盖红茵,正文
53,邯郸记,第十出,望吾乡,否,77,红,一鞭红雨促,一鞭红雨促归程,正文
53,邯郸记,第十出,望吾乡,否,77,金,卿将金赀广,多谢贤卿将金赀广交朝贵,正文
0,邯郸记,第十出,玉芙蓉,否,78
54,邯郸记,第十出,玉芙蓉,是,79,翠,长是翠眉颦,为 思夫长是翠眉颦,正文
55,邯郸记,第十出,尾声,否,80,白,平 白地支,要平 白地支管着 河阳运,正文
0,邯郸记,第十一出,普贤歌,否,81
0,邯郸记,第十一出,字字双,否,82
56,邯郸记,第十一出,缕缕金,否,83,金,缕缕金,缕缕金,曲牌
0,邯郸记,第十一出,双调江儿水,否,84
0,邯郸记,第十一出,双调江儿水,是,85
0,邯郸记,第十一出,桂枝香,否,86
57,邯郸记,第十一出,桂枝香,是,87,黄, 黄河过,黄河过脉,正文
0,邯郸记,第十一出,大迓鼓,否,88
58,邯郸记,第十一出,大迓鼓,是,89,红,嘴啄红崖,鹳嘴啄红崖,正文
58,邯郸记,第十一出,大迓鼓,是,89,粉,粉裂烟,粉裂烟开,正文
58,邯郸记,第十一出,大迓鼓,是,89,青,火尽青山在,知他火尽青山在,正文
0,邯郸记,第十一出,尾声,否,90
59,邯郸记,第十二出,西地锦,否,91,白,白头未,白头未挂封侯印,正文
0,邯郸记,第十二出,山花子,否,92
0,邯郸记,第十二出,清江引,否,93
0,邯郸记,第十二出,清江引,否,94
0,邯郸记,第十二出,清江引,否,95
60,邯郸记,第十三出,梨花儿,否,96,白,一张白纸超,费一张白纸超申,正文
60,邯郸记,第十三出,梨花儿,否,96,金,样的金莲大,这样的金莲大似船,正文
61,邯郸记,第十三出,西地锦,否,97,翠,翻摇翠浪,峡石翻摇翠浪,正文
61,邯郸记,第十三出,西地锦,否,97,金,细吐金沙,茅津细吐金沙,正文
0,邯郸记,第十三出,西江月,否,98
62,邯郸记,第十三出,一封书,否,99,翠,来是翠华 ,东来是翠华,正文
62,邯郸记,第十三出,一封书,否,99,红,柄 红罗伞,要曲柄 红罗伞一把,正文
62,邯郸记,第十三出,一封书,否,99,白,某路白粮,逐队写着某路白粮,正文
63,邯郸记,第十四出,太常引,否,100,黄,上赭黄袍,日华遥上赭黄袍,正文
64,邯郸记,第十四出,绕地游,否,101,黄, 黄舆左,黄舆左纛,正文
65,邯郸记,第十四出,望吾乡犯,否,102,绿,春草绿,臣谨奏：春日迟迟春草绿,正文
0,邯郸记,第十四出,绛都春,否,103
66,邯郸记,第十四出,出队子,否,104,翠,翠 丝,翠 丝丝杨柳画兰桡,正文
66,邯郸记,第十四出,出队子,否,104,兰,柳画兰桡,翠 丝丝杨柳画兰桡,正文
0,邯郸记,第十四出,闹樊楼,否,105
67,邯郸记,第十四出,莺画眉,否,106,金, 金盏酌,金盏酌仙桃,正文
