序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
72,牡丹亭,第十七出,集唐,否,120,金,“金生丽,“金生丽水”,正文
72,牡丹亭,第十七出,集唐,否,120,银,的“银烛辉,引路的“银烛辉煌”,正文
72,牡丹亭,第十七出,集唐,否,120,白,要“白驹食,一时间就要“白驹食场”,正文
72,牡丹亭,第十七出,集唐,否,120,黄,地玄黄”,累的他凿不窍皮混沌的“天地玄黄”,正文
72,牡丹亭,第十七出,集唐,否,120,丹青,驰誉丹青”,便配不上仕女图“驰誉丹青”,正文
73,牡丹亭,第十七出,大迓鼓,否,121,黄,主坐黄堂,府主坐黄堂,正文
74,牡丹亭,第十七出,大迓鼓,是,122,紫,紫微宫,紫微宫女夜焚香,下场诗
75,牡丹亭,第十八出,一江风,否,123,翠,湘帘翠,乱飒起湘帘翠,正文
0,牡丹亭,第十八出,行香子,否,124
76,牡丹亭,第十八出,金落索,否,125,金,金落索,金落索,曲牌
0,牡丹亭,第十八出,金落索,是,126
77,牡丹亭,第十八出,金索挂梧桐,否,127,金,金索挂,金索挂梧桐,曲牌
77,牡丹亭,第十八出,金索挂梧桐,否,127,紫,自家紫阳宫,”自家紫阳宫石道姑便是,正文
77,牡丹亭,第十八出,金索挂梧桐,否,127,紫,吾乃紫阳宫,吾乃紫阳宫石道姑,正文
77,牡丹亭,第十八出,金索挂梧桐,否,127,紫,紫阳宫,”自家紫阳宫石道姑便是,正文
0,牡丹亭,第十八出,金索挂梧桐,是,128
78,牡丹亭,第十八出,尾声,否,129,绿,绿惨双,绿惨双蛾不自持,下场诗
78,牡丹亭,第十八出,尾声,否,129,红,在花红处,如今不在花红处,下场诗
79,牡丹亭,第十九出,北点绛唇,否,130,金,幸大金皇帝,所幸大金皇帝,正文
79,牡丹亭,第十九出,北点绛唇,否,130,金,为溜金王,遥封俺为溜金王,正文
80,牡丹亭,第十九出,番卜算,否,131,金,知大金皇帝,你可知大金皇帝,正文
80,牡丹亭,第十九出,番卜算,否,131,金,做溜金王,封俺做溜金王,正文
80,牡丹亭,第十九出,番卜算,否,131,金,做溜金王,封俺做溜金王,正文
0,牡丹亭,第十九出,六幺令,否,132
81,牡丹亭,第十九出,六幺令,是,133,白,白草连,曹　唐　白草连天野火烧,下场诗
81,牡丹亭,第十九出,六幺令,是,133,青,战马青骢,选高蹄战马青骢,正文
81,牡丹亭,第十九出,六幺令,是,133,红,玉钗红,闪盔缨斜簇玉钗红,正文
82,牡丹亭,第二十出,金珑璁,否,134,金,金珑璁,金珑璁,曲牌
0,牡丹亭,第二十出,鹊桥仙,否,135
0,牡丹亭,第二十出,集贤宾,否,136
0,牡丹亭,第二十出,集贤宾,是,137
0,牡丹亭,第二十出,集贤宾,是,138
83,牡丹亭,第二十出,集贤宾,是,139,翠,杀俺翠娟娟,活害杀俺翠娟娟雏凤,正文
84,牡丹亭,第二十出,啭林莺,否,140,金,的千金重,从小来觑的千金重,正文
84,牡丹亭,第二十出,啭林莺,否,140,红,开一红,当今生花开一红,正文
84,牡丹亭,第二十出,啭林莺,否,140,绿,端碎绿摧红,一霎无端碎绿摧红,正文
84,牡丹亭,第二十出,啭林莺,否,140,红,绿摧红,一霎无端碎绿摧红,正文
0,牡丹亭,第二十出,啭林莺,是,141
85,牡丹亭,第二十出,玉莺儿,否,142,银,“银蟾谩,“银蟾谩捣君臣药,正文
85,牡丹亭,第二十出,玉莺儿,否,142,粉,分的粉骷髅,则分的粉骷髅向梅花古洞,正文
86,牡丹亭,第二十出,玉莺儿,是,143,紫,盛着紫檀匣,盛着紫檀匣儿,正文
87,牡丹亭,第二十出,忆莺儿,否,144,红,灯不红,冷雨幽窗灯不红,正文
88,牡丹亭,第二十出,尾声,否,145,红,灯再红,怎能够月落重生灯再红,正文
89,牡丹亭,第二十出,红衲袄,否,146,红,红衲袄,红衲袄,曲牌
89,牡丹亭,第二十出,红衲袄,否,146,红,花灯红泪缴,再不叫咱把剔花灯红泪缴,正文
89,牡丹亭,第二十出,红衲袄,否,146,翠,个拾翠人来,怕等得个拾翠人来把画粉销,正文
89,牡丹亭,第二十出,红衲袄,否,146,粉,把画粉销,怕等得个拾翠人来把画粉销,正文
90,牡丹亭,第二十出,红衲袄,是,147,朱,你暖朱唇学,再不教你暖朱唇学弄箫,正文
90,牡丹亭,第二十出,红衲袄,是,147,青,小姐青春有,小姐青春有了,正文
0,牡丹亭,第二十出,红衲袄,是,148
91,牡丹亭,第二十出,红衲袄,是,149,金,：“金寇南,奉圣旨：“金寇南窥,正文
91,牡丹亭,第二十出,红衲袄,是,149,白,俺头白中年,似俺头白中年啊,正文
92,牡丹亭,第二十出,意不尽,否,150,朱,朱,朱　褒　（老,下场诗
92,牡丹亭,第二十出,意不尽,否,150,白,白,李　白　（合,下场诗
0,牡丹亭,第二十一出,光光乍,否,151
0,牡丹亭,第二十一出,挂真儿,否,152
0,牡丹亭,第二十一出,亭前柳,否,153
0,牡丹亭,第二十一出,亭前柳,是,154
0,牡丹亭,第二十一出,挂真儿,否,155
